date,edition,source_url,markdown_filename,release_tag
2026-03-09,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=09032026-MAT.pdf&anio=2026&repo=repositorio/,09032026-MAT.md,dof-2026
2026-03-10,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=10032026-MAT.pdf&anio=2026&repo=repositorio/,10032026-MAT.md,dof-2026
2026-03-10,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=10032026-VES.pdf&anio=2026&repo=repositorio/,10032026-VES.md,dof-2026
2026-03-11,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=11032026-MAT.pdf&anio=2026&repo=repositorio/,11032026-MAT.md,dof-2026
2026-03-12,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=12032026-MAT.pdf&anio=2026&repo=repositorio/,12032026-MAT.md,dof-2026
2026-03-13,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=13032026-MAT.pdf&anio=2026&repo=repositorio/,13032026-MAT.md,dof-2026
2026-03-13,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=13032026-VES.pdf&anio=2026&repo=repositorio/,13032026-VES.md,dof-2026
2026-03-17,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=17032026-MAT.pdf&anio=2026&repo=repositorio/,17032026-MAT.md,dof-2026
2026-03-18,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=18032026-MAT.pdf&anio=2026&repo=repositorio/,18032026-MAT.md,dof-2026
2026-03-19,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=19032026-MAT.pdf&anio=2026&repo=repositorio/,19032026-MAT.md,dof-2026
2026-03-20,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=20032026-MAT.pdf&anio=2026&repo=repositorio/,20032026-MAT.md,dof-2026
2026-03-20,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=20032026-VES.pdf&anio=2026&repo=repositorio/,20032026-VES.md,dof-2026
2026-03-23,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=23032026-MAT.pdf&anio=2026&repo=repositorio/,23032026-MAT.md,dof-2026
2026-03-24,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=24032026-MAT.pdf&anio=2026&repo=repositorio/,24032026-MAT.md,dof-2026
2026-03-25,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=25032026-MAT.pdf&anio=2026&repo=repositorio/,25032026-MAT.md,dof-2026
2026-03-26,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=26032026-MAT.pdf&anio=2026&repo=repositorio/,26032026-MAT.md,dof-2026
2026-03-27,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=27032026-MAT.pdf&anio=2026&repo=repositorio/,27032026-MAT.md,dof-2026
2026-03-27,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=27032026-VES.pdf&anio=2026&repo=repositorio/,27032026-VES.md,dof-2026
2026-03-30,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=30032026-MAT.pdf&anio=2026&repo=repositorio/,30032026-MAT.md,dof-2026
2026-03-31,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=31032026-MAT.pdf&anio=2026&repo=repositorio/,31032026-MAT.md,dof-2026
2026-03-31,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=31032026-VES.pdf&anio=2026&repo=repositorio/,31032026-VES.md,dof-2026
2026-04-01,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=01042026-MAT.pdf&anio=2026&repo=repositorio/,01042026-MAT.md,dof-2026
2026-04-01,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=01042026-VES.pdf&anio=2026&repo=repositorio/,01042026-VES.md,dof-2026
2026-04-02,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=02042026-MAT.pdf&anio=2026&repo=repositorio/,02042026-MAT.md,dof-2026
2026-04-03,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=03042026-MAT.pdf&anio=2026&repo=repositorio/,03042026-MAT.md,dof-2026
2026-04-06,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=06042026-MAT.pdf&anio=2026&repo=repositorio/,06042026-MAT.md,dof-2026
2026-04-07,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=07042026-MAT.pdf&anio=2026&repo=repositorio/,07042026-MAT.md,dof-2026
2026-04-08,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=08042026-MAT.pdf&anio=2026&repo=repositorio/,08042026-MAT.md,dof-2026
