year,heading,notes
2014,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",15608
2014,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,1308
2014,EMPRESAS PRODUCTIVAS DEL ESTADO,2
2014,ORGANISMOS AUTONOMOS,1084
2014,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,350
2014,OTROS,26
2014,PODER EJECUTIVO,5733
2014,PODER JUDICIAL,248
2014,PODER LEGISLATIVO,69
2015,AVISOS JUDICIALES Y GENERALES,10786
2015,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",13578
2015,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,1217
2015,EMPRESAS PRODUCTIVAS DEL ESTADO,25
2015,ORGANISMOS AUTONOMOS,1342
2015,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,260
2015,OTROS,13
2015,PODER EJECUTIVO,6331
2015,PODER JUDICIAL,396
2015,PODER LEGISLATIVO,35
2016,AVISOS JUDICIALES Y GENERALES,10489
2016,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",12238
2016,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,739
2016,EMPRESAS PRODUCTIVAS DEL ESTADO,24
2016,ORGANISMOS AUTONOMOS,1314
2016,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,240
2016,OTROS,14
2016,PODER EJECUTIVO,7210
2016,PODER JUDICIAL,316
2016,PODER LEGISLATIVO,48
2016,PODERES DE LA UNION,1
2017,AVISOS JUDICIALES Y GENERALES,10653
2017,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",11617
2017,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,1227
2017,EMPRESAS PRODUCTIVAS DEL ESTADO,22
2017,ENTIDADES FEDERATIVAS,1
2017,ORGANISMOS AUTONOMOS,1304
2017,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,264
2017,OTROS,1
2017,PODER EJECUTIVO,5640
2017,PODER JUDICIAL,284
2017,PODER LEGISLATIVO,91
2018,AVISOS JUDICIALES Y GENERALES,10552
2018,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",9958
2018,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,1316
2018,EMPRESAS PRODUCTIVAS DEL ESTADO,28
2018,ORGANISMOS AUTONOMOS,1280
2018,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,270
2018,PODER EJECUTIVO,6581
2018,PODER JUDICIAL,276
2018,PODER LEGISLATIVO,60
2019,AVISOS JUDICIALES Y GENERALES,9454
2019,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",9127
2019,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,737
2019,EMPRESAS PRODUCTIVAS DEL ESTADO,39
2019,ORGANISMOS AUTONOMOS,1203
2019,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,317
2019,OTROS,7
2019,PODER EJECUTIVO,4352
2019,PODER JUDICIAL,274
2019,PODER LEGISLATIVO,66
2020,AVISOS JUDICIALES Y GENERALES,5361
2020,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",7994
2020,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,566
2020,EMPRESAS PRODUCTIVAS DEL ESTADO,16
2020,ORGANISMOS AUTONOMOS,1589
2020,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,509
2020,OTROS,1
2020,PODER EJECUTIVO,3548
2020,PODER JUDICIAL,236
2020,PODER LEGISLATIVO,69
2021,AVISOS JUDICIALES Y GENERALES,7496
2021,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",9049
2021,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,832
2021,EMPRESAS PRODUCTIVAS DEL ESTADO,36
2021,ORGANISMOS AUTONOMOS,1620
2021,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,385
2021,OTROS,3
2021,PODER EJECUTIVO,3376
2021,PODER JUDICIAL,549
2021,PODER LEGISLATIVO,60
2022,AVISOS JUDICIALES Y GENERALES,9436
